name,position,department,timestamp,date
Joe Tsai,Governor,GOVERNANCE,20210829041659,2021-08-29
Oliver Weisberg,Alternate Governor,GOVERNANCE,20210829041659,2021-08-29
John Abbamondi,"Alternate Governor, Brooklyn Nets, CEO, BSE Global",GOVERNANCE,20210829041659,2021-08-29
Sean Marks,"Alternative Governor, General Manager",GOVERNANCE,20210829041659,2021-08-29
Michael Wandell,"Executive Vice President, Chief Commercial Officer",MANAGEMENT,20210829041659,2021-08-29
Laurie Jacoby,"Executive Vice President, Chief Entertainment Officer",MANAGEMENT,20210829041659,2021-08-29
Leo Ehrline,"Executive Vice President, Chief Experience Officer",MANAGEMENT,20210829041659,2021-08-29
Peter Stern,"Executive Vice President, Chief Financial Officer",MANAGEMENT,20210829041659,2021-08-29
Emerson Moore,"Executive Vice President, Chief People Officer",MANAGEMENT,20210829041659,2021-08-29
Jeff Gewirtz,"Executive Vice President, Chief Operating Officer and General Counsel",MANAGEMENT,20210829041659,2021-08-29
Mandy Gutmann,"Executive Vice President, Communications and Community Relations",MANAGEMENT,20210829041659,2021-08-29
Travis Sampson,Chief Information Officer,MANAGEMENT,20210829041659,2021-08-29
"Jackie Wilson, II",Executive Director of Diversity & Inclusion,MANAGEMENT,20210829041659,2021-08-29
Andrew Karson,"Senior Vice President, Brand Marketing and Solutions",MANAGEMENT,20210829041659,2021-08-29
Amos Varon,"Senior Vice President, Partnership and Premium Development",MANAGEMENT,20210829041659,2021-08-29
Joshua Pruss,"Senior Vice President, Partnership Marketing and Premium Hospitality",MANAGEMENT,20210829041659,2021-08-29
Paul Kavanaugh,"Senior Vice President, Ticket Sales and Operations",MANAGEMENT,20210829041659,2021-08-29
Adina Erwin,"General Manager, Barclays Center",MANAGEMENT,20210829041659,2021-08-29
Josue Napa,"Vice President, Controller",MANAGEMENT,20210829041659,2021-08-29
Jeff Gamble,"Vice President, Creative & Content Management",MANAGEMENT,20210829041659,2021-08-29
Paul Kamras,"Vice President, Game Presentation",MANAGEMENT,20210829041659,2021-08-29
Dan Gaiman,"Vice President, Global Partnership Sales",MANAGEMENT,20210829041659,2021-08-29
Chris Insolera,"Vice President, Global Partnership Sales",MANAGEMENT,20210829041659,2021-08-29
Alton Byrd,"Vice President, Growth Properties - Long Island Nets",MANAGEMENT,20210829041659,2021-08-29
Chris Giacalone,"Vice President, Hospitality",MANAGEMENT,20210829041659,2021-08-29
Victor Pereira,"Vice President, Information Technology",MANAGEMENT,20210829041659,2021-08-29
Randy Lewis,"Vice President, Marketing Technology",MANAGEMENT,20210829041659,2021-08-29
Christine Bowns,"Vice President, Premium Hospitality",MANAGEMENT,20210829041659,2021-08-29
"Riley J. Williams III, MD",Medical Director & Head Team Physician,MEDICAL STAFF,20210829041659,2021-08-29
"Michael Farber, MD",Team Physician/Internal Medicine,MEDICAL STAFF,20210829041659,2021-08-29
"Martin O'Malley, MD",Team Physician/Orthopedics,MEDICAL STAFF,20210829041659,2021-08-29
Joe Tsai,Governor,GOVERNANCE,20210131090146,2021-01-31
Oliver Weisberg,Alternate Governor,GOVERNANCE,20210131090146,2021-01-31
John Abbamondi,"Alternate Governor, Brooklyn Nets, CEO, BSE Global",GOVERNANCE,20210131090146,2021-01-31
Sean Marks,"Alternative Governor, General Manager",GOVERNANCE,20210131090146,2021-01-31
Michael Wandell,"Executive Vice President, Chief Commercial Officer",MANAGEMENT,20210131090146,2021-01-31
Leo Ehrline,"Executive Vice President, Chief Experience Officer",MANAGEMENT,20210131090146,2021-01-31
Peter Stern,"Executive Vice President, Chief Financial Officer",MANAGEMENT,20210131090146,2021-01-31
Emerson Moore,"Executive Vice President, Chief People Officer",MANAGEMENT,20210131090146,2021-01-31
Jeff Gewirtz,"Executive Vice President, Chief Operating Officer and General Counsel",MANAGEMENT,20210131090146,2021-01-31
Travis Sampson,Chief Information Officer,MANAGEMENT,20210131090146,2021-01-31
Mandy Gutmann,"Senior Vice President, Communications and Community Relations",MANAGEMENT,20210131090146,2021-01-31
"Jackie Wilson, II",Executive Director of Diversity & Inclusion,MANAGEMENT,20210131090146,2021-01-31
Andrew Karson,"Senior Vice President, Brand Marketing and Solutions",MANAGEMENT,20210131090146,2021-01-31
Savan Hacknorath,"Senior Vice President, Human Resources",MANAGEMENT,20210131090146,2021-01-31
Amos Varon,"Senior Vice President, Partnership and Premium Development",MANAGEMENT,20210131090146,2021-01-31
Joshua Pruss,"Senior Vice President, Partnership Marketing and Premium Hospitality",MANAGEMENT,20210131090146,2021-01-31
Paul Kavanaugh,"Senior Vice President, Ticket Sales and Operations",MANAGEMENT,20210131090146,2021-01-31
Adina Erwin,"General Manager, Barclays Center",MANAGEMENT,20210131090146,2021-01-31
Josue Napa,"Vice President, Controller",MANAGEMENT,20210131090146,2021-01-31
Jeff Gamble,"Vice President, Creative & Content Management",MANAGEMENT,20210131090146,2021-01-31
Paul Kamras,"Vice President, Game Presentation",MANAGEMENT,20210131090146,2021-01-31
Dan Gaiman,"Vice President, Global Partnership Sales",MANAGEMENT,20210131090146,2021-01-31
Chris Insolera,"Vice President, Global Partnership Sales",MANAGEMENT,20210131090146,2021-01-31
Alton Byrd,"Vice President, Growth Properties - Long Island Nets",MANAGEMENT,20210131090146,2021-01-31
Chris Giacalone,"Vice President, Hospitality",MANAGEMENT,20210131090146,2021-01-31
Victor Pereira,"Vice President, Information Technology",MANAGEMENT,20210131090146,2021-01-31
Randy Lewis,"Vice President, Marketing Technology",MANAGEMENT,20210131090146,2021-01-31
Christine Bowns,"Vice President, Premium Hospitality",MANAGEMENT,20210131090146,2021-01-31
Mark Fine,"Vice President, Team Marketing",MANAGEMENT,20210131090146,2021-01-31
"Riley J. Williams III, MD",Medical Director & Head Team Physician,MEDICAL STAFF,20210131090146,2021-01-31
"Michael Farber, MD",Team Physician/Internal Medicine,MEDICAL STAFF,20210131090146,2021-01-31
"Martin O'Malley, MD",Team Physician/Orthopedics,MEDICAL STAFF,20210131090146,2021-01-31
Joe Tsai,Governor,EXECUTIVE MANAGEMENT,20200803212918,2020-08-03
Oliver Weisberg,Alternate Governor,EXECUTIVE MANAGEMENT,20200803212918,2020-08-03
John Abbamondi,Alternate Governor,EXECUTIVE MANAGEMENT,20200803212918,2020-08-03
Leo Ehrline,Executive Vice President and Chief Experience Officer,EXECUTIVE MANAGEMENT,20200803212918,2020-08-03
Jeff Gewirtz,"Executive Vice President, Business Affairs and Chief Legal & Compliance Officer",EXECUTIVE MANAGEMENT,20200803212918,2020-08-03
Travis Sampson,Chief Information Officer,EXECUTIVE MANAGEMENT,20200803212918,2020-08-03
Mandy Gutmann,"Senior Vice President, Communications",EXECUTIVE MANAGEMENT,20200803212918,2020-08-03
Savan Hacknorath,"Senior Vice President, Human Resources",EXECUTIVE MANAGEMENT,20200803212918,2020-08-03
Dan Lefton,"Senior Vice President, Tickets – Strategy and Operations",EXECUTIVE MANAGEMENT,20200803212918,2020-08-03
Joshua Pruss,"Senior Vice President, Global Partnerships",FRONT OFFICE,20200803212918,2020-08-03
Paul Kavanaugh,"Senior Vice President, Ticket Operations",FRONT OFFICE,20200803212918,2020-08-03
John Baier,"Senior Vice President, Ticket Sales and Service",FRONT OFFICE,20200803212918,2020-08-03
Alton Byrd,"Vice President, Business Operations - Long Island Nets",FRONT OFFICE,20200803212918,2020-08-03
Josue Napa,"Vice President, Controller",FRONT OFFICE,20200803212918,2020-08-03
Jeff Gamble,"Vice President, Creative & Content Management",FRONT OFFICE,20200803212918,2020-08-03
Dr. Maurice A. Stinnett,"Vice President, Diversity and Inclusion",FRONT OFFICE,20200803212918,2020-08-03
Paul Kamras,"Vice President, Game Presentation",FRONT OFFICE,20200803212918,2020-08-03
Dan Gaiman,"Vice President, Global Partnership Sales",FRONT OFFICE,20200803212918,2020-08-03
Chris Insolera,"Vice President, Global Partnership Sales",FRONT OFFICE,20200803212918,2020-08-03
Victor Pereira,"Vice President, Information Technology",FRONT OFFICE,20200803212918,2020-08-03
Randy Lewis,"Vice President, Marketing Technology",FRONT OFFICE,20200803212918,2020-08-03
Christine Bowns,"Vice President, Membership Services",FRONT OFFICE,20200803212918,2020-08-03
Ross Grill,"Vice President, Premium Partnerships",FRONT OFFICE,20200803212918,2020-08-03
Mark Fine,"Vice President, Team Marketing",FRONT OFFICE,20200803212918,2020-08-03
"Riley J. Williams III, MD",Medical Director & Head Team Physician,MEDICAL STAFF,20200803212918,2020-08-03
"Michael Farber, MD",Team Physician/Internal Medicine,MEDICAL STAFF,20200803212918,2020-08-03
"Martin O'Malley, MD",Team Physician/Orthopedics,MEDICAL STAFF,20200803212918,2020-08-03
Joe Tsai,Governor,GOVERNANCE,20210630084208,2021-06-30
Oliver Weisberg,Alternate Governor,GOVERNANCE,20210630084208,2021-06-30
John Abbamondi,"Alternate Governor, Brooklyn Nets, CEO, BSE Global",GOVERNANCE,20210630084208,2021-06-30
Sean Marks,"Alternative Governor, General Manager",GOVERNANCE,20210630084208,2021-06-30
Michael Wandell,"Executive Vice President, Chief Commercial Officer",MANAGEMENT,20210630084208,2021-06-30
Laurie Jacoby,"Executive Vice President, Chief Entertainment Officer",MANAGEMENT,20210630084208,2021-06-30
Leo Ehrline,"Executive Vice President, Chief Experience Officer",MANAGEMENT,20210630084208,2021-06-30
Peter Stern,"Executive Vice President, Chief Financial Officer",MANAGEMENT,20210630084208,2021-06-30
Emerson Moore,"Executive Vice President, Chief People Officer",MANAGEMENT,20210630084208,2021-06-30
Jeff Gewirtz,"Executive Vice President, Chief Operating Officer and General Counsel",MANAGEMENT,20210630084208,2021-06-30
Travis Sampson,Chief Information Officer,MANAGEMENT,20210630084208,2021-06-30
Mandy Gutmann,"Senior Vice President, Communications and Community Relations",MANAGEMENT,20210630084208,2021-06-30
"Jackie Wilson, II",Executive Director of Diversity & Inclusion,MANAGEMENT,20210630084208,2021-06-30
Andrew Karson,"Senior Vice President, Brand Marketing and Solutions",MANAGEMENT,20210630084208,2021-06-30
Amos Varon,"Senior Vice President, Partnership and Premium Development",MANAGEMENT,20210630084208,2021-06-30
Joshua Pruss,"Senior Vice President, Partnership Marketing and Premium Hospitality",MANAGEMENT,20210630084208,2021-06-30
Paul Kavanaugh,"Senior Vice President, Ticket Sales and Operations",MANAGEMENT,20210630084208,2021-06-30
Adina Erwin,"General Manager, Barclays Center",MANAGEMENT,20210630084208,2021-06-30
Josue Napa,"Vice President, Controller",MANAGEMENT,20210630084208,2021-06-30
Jeff Gamble,"Vice President, Creative & Content Management",MANAGEMENT,20210630084208,2021-06-30
Paul Kamras,"Vice President, Game Presentation",MANAGEMENT,20210630084208,2021-06-30
Dan Gaiman,"Vice President, Global Partnership Sales",MANAGEMENT,20210630084208,2021-06-30
Chris Insolera,"Vice President, Global Partnership Sales",MANAGEMENT,20210630084208,2021-06-30
Alton Byrd,"Vice President, Growth Properties - Long Island Nets",MANAGEMENT,20210630084208,2021-06-30
Chris Giacalone,"Vice President, Hospitality",MANAGEMENT,20210630084208,2021-06-30
Victor Pereira,"Vice President, Information Technology",MANAGEMENT,20210630084208,2021-06-30
Randy Lewis,"Vice President, Marketing Technology",MANAGEMENT,20210630084208,2021-06-30
Christine Bowns,"Vice President, Premium Hospitality",MANAGEMENT,20210630084208,2021-06-30
"Riley J. Williams III, MD",Medical Director & Head Team Physician,MEDICAL STAFF,20210630084208,2021-06-30
"Michael Farber, MD",Team Physician/Internal Medicine,MEDICAL STAFF,20210630084208,2021-06-30
"Martin O'Malley, MD",Team Physician/Orthopedics,MEDICAL STAFF,20210630084208,2021-06-30
Mikhail Prokhorov,"Owner, Governor",EXECUTIVE MANAGEMENT,20190111051209,2019-01-11
Joseph Tsai,"Owner, Alternate Governor",EXECUTIVE MANAGEMENT,20190111051209,2019-01-11
Dmitry Razumov,Chairman of the Board of Directors,EXECUTIVE MANAGEMENT,20190111051209,2019-01-11
Maureen Hanlon,"President, ONEXIM Sports and Entertainment Holding USA, Inc.",EXECUTIVE MANAGEMENT,20190111051209,2019-01-11
Brett Yormark,Chief Executive Officer,EXECUTIVE MANAGEMENT,20190111051209,2019-01-11
Leo Ehrline,Chief Experience Officer,EXECUTIVE MANAGEMENT,20190111051209,2019-01-11
Jeff Gewirtz,"Executive Vice President, Business Affairs and Chief Legal & Compliance Officer",EXECUTIVE MANAGEMENT,20190111051209,2019-01-11
Eu-Gene Sung,Chief Financial Officer,EXECUTIVE MANAGEMENT,20190111051209,2019-01-11
Elizabeth Brooks,Chief Marketing Officer,EXECUTIVE MANAGEMENT,20190111051209,2019-01-11
Michael Zavodsky,Chief Revenue Officer,EXECUTIVE MANAGEMENT,20190111051209,2019-01-11
Joshua Pruss,"Senior Vice President, Global Partnerships",FRONT OFFICE,20190111051209,2019-01-11
Bryan Calka,"Senior Vice President, Global Partnership Sales",FRONT OFFICE,20190111051209,2019-01-11
John Baier,"Senior Vice President, Ticket Sales and Service",FRONT OFFICE,20190111051209,2019-01-11
Paul Kavanaugh,"Senior Vice President, Ticket Operations",FRONT OFFICE,20190111051209,2019-01-11
Dan Lefton,"Senior Vice President, Tickets – Strategy and Operations",FRONT OFFICE,20190111051209,2019-01-11
Jeff Gamble,"Vice President, Creative & Content Management",FRONT OFFICE,20190111051209,2019-01-11
Mandy Gutmann,"Vice President, Communications",FRONT OFFICE,20190111051209,2019-01-11
Josue Napa,"Vice President, Controller",FRONT OFFICE,20190111051209,2019-01-11
Kari Cohen,Vice President & Deputy General Counsel,FRONT OFFICE,20190111051209,2019-01-11
Robert Saliers,"Vice President, Event Finance & Development",FRONT OFFICE,20190111051209,2019-01-11
Peter Kirschenbaum,"Vice President, Financial Planning & Analysis",FRONT OFFICE,20190111051209,2019-01-11
Michael White,"Vice President, Financial Planning & Analysis",FRONT OFFICE,20190111051209,2019-01-11
Paul Kamras,"Vice President, Game Presentation",FRONT OFFICE,20190111051209,2019-01-11
Kellen Benjamin,"Vice President, Global Partnerships",FRONT OFFICE,20190111051209,2019-01-11
Christopher Lombardo,"Vice President, Global Partnerships",FRONT OFFICE,20190111051209,2019-01-11
Dan Gaiman,"Vice President, Global Partnership Sales",FRONT OFFICE,20190111051209,2019-01-11
Chris Insolera,"Vice President, Global Partnership Sales",FRONT OFFICE,20190111051209,2019-01-11
Kirk King,"Vice President, Group Sales",FRONT OFFICE,20190111051209,2019-01-11
Savan Hacknorath,"Vice President, Human Resources",FRONT OFFICE,20190111051209,2019-01-11
Randy Lewis,"Vice President, Marketing Technology",FRONT OFFICE,20190111051209,2019-01-11
Ashley Kahler,"Vice President, Partnership Marketing & Brand Strategy",FRONT OFFICE,20190111051209,2019-01-11
Howard Seif,"Vice President, Partnership Marketing",FRONT OFFICE,20190111051209,2019-01-11
Ross Grill,"Vice President, Premium Partnerships",FRONT OFFICE,20190111051209,2019-01-11
Nick Vaerewyck,"Vice President, Programming",FRONT OFFICE,20190111051209,2019-01-11
Victor Pereira,"Senior Director, Information Technology",FRONT OFFICE,20190111051209,2019-01-11
"Riley J. Williams III, MD",Medical Director & Head Team Physician,MEDICAL STAFF,20190111051209,2019-01-11
"Michael Farber, MD",Team Physician/Internal Medicine,MEDICAL STAFF,20190111051209,2019-01-11
"Martin O'Malley, MD",Team Physician/Orthopedics,MEDICAL STAFF,20190111051209,2019-01-11
Joe Tsai,Governor,GOVERNANCE,20210330171339,2021-03-30
Oliver Weisberg,Alternate Governor,GOVERNANCE,20210330171339,2021-03-30
John Abbamondi,"Alternate Governor, Brooklyn Nets, CEO, BSE Global",GOVERNANCE,20210330171339,2021-03-30
Sean Marks,"Alternative Governor, General Manager",GOVERNANCE,20210330171339,2021-03-30
Michael Wandell,"Executive Vice President, Chief Commercial Officer",MANAGEMENT,20210330171339,2021-03-30
Laurie Jacoby,"Executive Vice President, Chief Entertainment Officer",MANAGEMENT,20210330171339,2021-03-30
Leo Ehrline,"Executive Vice President, Chief Experience Officer",MANAGEMENT,20210330171339,2021-03-30
Peter Stern,"Executive Vice President, Chief Financial Officer",MANAGEMENT,20210330171339,2021-03-30
Emerson Moore,"Executive Vice President, Chief People Officer",MANAGEMENT,20210330171339,2021-03-30
Jeff Gewirtz,"Executive Vice President, Chief Operating Officer and General Counsel",MANAGEMENT,20210330171339,2021-03-30
Travis Sampson,Chief Information Officer,MANAGEMENT,20210330171339,2021-03-30
Mandy Gutmann,"Senior Vice President, Communications and Community Relations",MANAGEMENT,20210330171339,2021-03-30
"Jackie Wilson, II",Executive Director of Diversity & Inclusion,MANAGEMENT,20210330171339,2021-03-30
Andrew Karson,"Senior Vice President, Brand Marketing and Solutions",MANAGEMENT,20210330171339,2021-03-30
Savan Hacknorath,"Senior Vice President, Human Resources",MANAGEMENT,20210330171339,2021-03-30
Amos Varon,"Senior Vice President, Partnership and Premium Development",MANAGEMENT,20210330171339,2021-03-30
Joshua Pruss,"Senior Vice President, Partnership Marketing and Premium Hospitality",MANAGEMENT,20210330171339,2021-03-30
Paul Kavanaugh,"Senior Vice President, Ticket Sales and Operations",MANAGEMENT,20210330171339,2021-03-30
Adina Erwin,"General Manager, Barclays Center",MANAGEMENT,20210330171339,2021-03-30
Josue Napa,"Vice President, Controller",MANAGEMENT,20210330171339,2021-03-30
Jeff Gamble,"Vice President, Creative & Content Management",MANAGEMENT,20210330171339,2021-03-30
Paul Kamras,"Vice President, Game Presentation",MANAGEMENT,20210330171339,2021-03-30
Dan Gaiman,"Vice President, Global Partnership Sales",MANAGEMENT,20210330171339,2021-03-30
Chris Insolera,"Vice President, Global Partnership Sales",MANAGEMENT,20210330171339,2021-03-30
Alton Byrd,"Vice President, Growth Properties - Long Island Nets",MANAGEMENT,20210330171339,2021-03-30
Chris Giacalone,"Vice President, Hospitality",MANAGEMENT,20210330171339,2021-03-30
Victor Pereira,"Vice President, Information Technology",MANAGEMENT,20210330171339,2021-03-30
Randy Lewis,"Vice President, Marketing Technology",MANAGEMENT,20210330171339,2021-03-30
Christine Bowns,"Vice President, Premium Hospitality",MANAGEMENT,20210330171339,2021-03-30
Mark Fine,"Vice President, Team Marketing",MANAGEMENT,20210330171339,2021-03-30
"Riley J. Williams III, MD",Medical Director & Head Team Physician,MEDICAL STAFF,20210330171339,2021-03-30
"Michael Farber, MD",Team Physician/Internal Medicine,MEDICAL STAFF,20210330171339,2021-03-30
"Martin O'Malley, MD",Team Physician/Orthopedics,MEDICAL STAFF,20210330171339,2021-03-30
Joe Tsai,Governor,EXECUTIVE MANAGEMENT,20201031235328,2020-10-31
Oliver Weisberg,Alternate Governor,EXECUTIVE MANAGEMENT,20201031235328,2020-10-31
John Abbamondi,Alternate Governor,EXECUTIVE MANAGEMENT,20201031235328,2020-10-31
Leo Ehrline,Executive Vice President and Chief Experience Officer,EXECUTIVE MANAGEMENT,20201031235328,2020-10-31
Jeff Gewirtz,"Executive Vice President, Business Affairs and Chief Legal & Compliance Officer",EXECUTIVE MANAGEMENT,20201031235328,2020-10-31
Travis Sampson,Chief Information Officer,EXECUTIVE MANAGEMENT,20201031235328,2020-10-31
Mandy Gutmann,"Senior Vice President, Communications",EXECUTIVE MANAGEMENT,20201031235328,2020-10-31
Savan Hacknorath,"Senior Vice President, Human Resources",EXECUTIVE MANAGEMENT,20201031235328,2020-10-31
Dan Lefton,"Senior Vice President, Tickets – Strategy and Operations",EXECUTIVE MANAGEMENT,20201031235328,2020-10-31
"Jackie Wilson, II",Executive Director of Diversity & Inclusion,EXECUTIVE MANAGEMENT,20201031235328,2020-10-31
